id,word,tag,sentiment,aspect,class1,class2,class3
0,pakai,O,NEU,,NEU,O-NEU,O-NEU
0,honda,O,NEU,,NEU,O-NEU,O-NEU
0,jazz,O,NEU,,NEU,O-NEU,O-NEU
0,gk5,O,NEU,,NEU,O-NEU,O-NEU
0,tahun,O,NEU,,NEU,O-NEU,O-NEU
0,2014,O,NEU,,NEU,O-NEU,O-NEU
0,pertama,O,NEU,,NEU,O-NEU,O-NEU
0,luncur,O,NEU,,NEU,O-NEU,O-NEU
0,mobil,B,POS,OTHERS,POS-OTHERS,B-POS-OTHERS,B-POS
0,bagus,L,POS,OTHERS,POS-OTHERS,L-POS-OTHERS,L-POS
0,dan,C,NEU,,NEU,C-NEU,C-NEU
0,enak,L,POS,OTHERS,POS-OTHERS,L-POS-OTHERS,L-POS
0,sesuai,O,NEU,,NEU,O-NEU,O-NEU
0,moto,O,NEU,,NEU,O-NEU,O-NEU
0,senang,O,NEU,,NEU,O-NEU,O-NEU
0,kendara,O,NEU,,NEU,O-NEU,O-NEU
1,avanza,O,NEU,,NEU,O-NEU,O-NEU
1,jadi,O,NEU,,NEU,O-NEU,O-NEU
1,boros,B,NEG,FUEL,NEG-FUEL,B-NEG-FUEL,B-NEG
1,bensin,L,NEG,FUEL,NEG-FUEL,L-NEG-FUEL,L-NEG
1,begini,O,NEU,,NEU,O-NEU,O-NEU
1,dah,O,NEU,,NEU,O-NEU,O-NEU
1,ah,O,NEU,,NEU,O-NEU,O-NEU
1,baru,O,NEU,,NEU,O-NEU,O-NEU
1,isi,O,NEU,,NEU,O-NEU,O-NEU
1,mau,O,NEU,,NEU,O-NEU,O-NEU
1,tengah,O,NEU,,NEU,O-NEU,O-NEU
2,saran,O,NEU,,NEU,O-NEU,O-NEU
2,ku,O,NEU,,NEU,O-NEU,O-NEU
2,dan,O,NEU,,NEU,O-NEU,O-NEU
2,alam,O,NEU,,NEU,O-NEU,O-NEU
2,ku,O,NEU,,NEU,O-NEU,O-NEU
